,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
277,0.008637475967407226,0.00014071741654017795,0.001987934112548828,1.892689160059866e-05,0.1,4,1.0,0.01,poly,"{'C': 0.1, 'degree': 4, 'epsilon': 1.0, 'gamma': 0.01, 'kernel': 'poly'}",-1.452065627468465,-1.3107991700476986,-1.3682357291058205,-1.506243391293705,-1.3964761825955667,-1.4067640201022513,0.06745057772365183,1048
278,0.009627151489257812,0.00015130993518374592,0.0029564380645751955,0.00010782271934614335,0.1,4,1.0,0.01,rbf,"{'C': 0.1, 'degree': 4, 'epsilon': 1.0, 'gamma': 0.01, 'kernel': 'rbf'}",-1.4448068427635723,-1.3064442208139277,-1.3600892404585228,-1.4986997672831825,-1.393122976253184,-1.400632609514478,0.06654343280611519,888
279,0.010109567642211914,0.00020700525316908667,0.0023247718811035155,3.0380702027335208e-05,0.1,4,1.0,0.01,sigmoid,"{'C': 0.1, 'degree': 4, 'epsilon': 1.0, 'gamma': 0.01, 'kernel': 'sigmoid'}",-1.4480363767490483,-1.3083518389022435,-1.363639873525746,-1.5015190296765386,-1.3944684477894262,-1.4032031133286005,0.06680471465749334,990
280,0.007764387130737305,0.00012083305741639499,0.0017987728118896485,2.765515751431154e-05,0.1,4,1.0,0.1,linear,"{'C': 0.1, 'degree': 4, 'epsilon': 1.0, 'gamma': 0.1, 'kernel': 'linear'}",-1.403229248871168,-1.2931413495965962,-1.3196637037620182,-1.4546715105243009,-1.367659773545169,-1.3676731172598504,0.057780355276213335,631
281,0.008428859710693359,0.00013389188333960228,0.0019649505615234376,2.3561063932845505e-05,0.1,4,1.0,0.1,poly,"{'C': 0.1, 'degree': 4, 'epsilon': 1.0, 'gamma': 0.1, 'kernel': 'poly'}",-1.4518151441647094,-1.3106440276517815,-1.3679173997202032,-1.5059968224564255,-1.3963426469515554,-1.4065432081889349,0.067428817185206,1035
282,0.009233570098876953,0.0002056613975572266,0.0028748512268066406,8.195650360792645e-05,0.1,4,1.0,0.1,rbf,"{'C': 0.1, 'degree': 4, 'epsilon': 1.0, 'gamma': 0.1, 'kernel': 'rbf'}",-1.4234786163312367,-1.2996021523821433,-1.341678289847391,-1.4782411299786262,-1.3855380750116495,-1.3857076527102092,0.06219623918806308,735
283,0.010226058959960937,0.0002680649579563606,0.0024225711822509766,6.968873516234229e-05,0.1,4,1.0,0.1,sigmoid,"{'C': 0.1, 'degree': 4, 'epsilon': 1.0, 'gamma': 0.1, 'kernel': 'sigmoid'}",-1.4312896539193012,-1.301718791550853,-1.3479338562714438,-1.4852312917735664,-1.3885347448030192,-1.3909416676636366,0.06377253319403216,795
284,0.007845687866210937,0.00014339234669445719,0.0018223285675048827,3.703388874161823e-05,0.1,4,1.0,1,linear,"{'C': 0.1, 'degree': 4, 'epsilon': 1.0, 'gamma': 1, 'kernel': 'linear'}",-1.403229248871168,-1.2931413495965962,-1.3196637037620182,-1.4546715105243009,-1.367659773545169,-1.3676731172598504,0.057780355276213335,631
285,0.00927906036376953,0.00033050324034466323,0.0020125865936279296,2.0963813639631638e-05,0.1,4,1.0,1,poly,"{'C': 0.1, 'degree': 4, 'epsilon': 1.0, 'gamma': 1, 'kernel': 'poly'}",-1.3430129593176492,-1.2758683956278385,-1.2500242262443129,-1.418576982416069,-1.3507800082572847,-1.3276525143726308,0.05957487591792997,168
286,0.009397077560424804,0.00011599884954875416,0.0029373645782470705,5.804724221449128e-05,0.1,4,1.0,1,rbf,"{'C': 0.1, 'degree': 4, 'epsilon': 1.0, 'gamma': 1, 'kernel': 'rbf'}",-1.3891138175316782,-1.284824599941999,-1.3071084172631995,-1.449725362817175,-1.368527966479014,-1.359860032806613,0.059024983965126,316
287,0.012972879409790038,0.0003789687846579263,0.0030333995819091797,5.7934831683175736e-05,0.1,4,1.0,1,sigmoid,"{'C': 0.1, 'degree': 4, 'epsilon': 1.0, 'gamma': 1, 'kernel': 'sigmoid'}",-1.4231843551615329,-1.3063868792024154,-1.3483646405824363,-1.4753465655290567,-1.381192575055438,-1.3868950031061757,0.05854786162454497,744
288,0.017614030838012697,0.0005167106236357963,0.0030572891235351564,4.19953601145996e-05,1.0,2,0.01,scale,linear,"{'C': 1, 'degree': 2, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",-1.399927683222347,-1.2909764058619195,-1.325167202330527,-1.42999040595032,-1.3628296293769024,-1.3617782653484032,0.04992524975997525,356
