,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
483,0.011688041687011718,0.00037265760186673856,0.0025639057159423826,2.8010844985451236e-05,0.6,0.5,9,25,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 9, 'n_estimators': 25, 'subsample': 1.0}",-0.7601036029942065,-0.7767454453967546,-0.628121370807737,-0.8334180422175806,-0.7196184886637305,-0.7436013900160019,0.06833549128611545,174
484,0.01811537742614746,0.00018453133500829765,0.002721548080444336,0.00013117728689057034,0.6,0.5,9,50,0.4,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 9, 'n_estimators': 50, 'subsample': 0.4}",-0.8465649038476022,-0.8206628567193183,-0.669779171884563,-0.9206830773289337,-0.7540554634411657,-0.8023490946443166,0.08508868592022957,495
485,0.0188657283782959,0.00018696198190335994,0.0027388572692871095,4.769530155576097e-05,0.6,0.5,9,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 9, 'n_estimators': 50, 'subsample': 0.6}",-0.7807841145869695,-0.7813775861761345,-0.6398418132420916,-0.902105953722371,-0.6877993115574035,-0.7583817558569941,0.0902451310367805,278
486,0.019385385513305663,0.00028022963182777836,0.0027248382568359373,2.3840618101309056e-05,0.6,0.5,9,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 9, 'n_estimators': 50, 'subsample': 0.8}",-0.7601795022496719,-0.7822097159149716,-0.6223231835565523,-0.8568357453742195,-0.6814524240218068,-0.7406001142234444,0.08137974554101021,153
487,0.017969274520874025,0.00037851117965572166,0.00266876220703125,4.4933800257949905e-05,0.6,0.5,9,50,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 9, 'n_estimators': 50, 'subsample': 1.0}",-0.7502229973178484,-0.7714288342984457,-0.6074473805355087,-0.8463284751989515,-0.7045681282111599,-0.7359991631123829,0.07892224898468919,114
488,0.031527376174926756,0.0003779437185117604,0.0030576229095458985,4.8473634116402774e-05,0.6,0.5,9,100,0.4,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 9, 'n_estimators': 100, 'subsample': 0.4}",-0.8379607863505131,-0.8280127565558013,-0.6920393632338012,-0.8967024013157504,-0.7861382934269597,-0.8081707201765651,0.06795724083495132,519
489,0.03323850631713867,0.00037192040813412576,0.0030563831329345702,8.263336184408952e-05,0.6,0.5,9,100,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 9, 'n_estimators': 100, 'subsample': 0.6}",-0.7670292428017192,-0.7653192613875122,-0.6517350768121979,-0.9114968828833185,-0.7198994088017687,-0.7630959745373034,0.08521788079395817,304
490,0.03438534736633301,0.0004917732509574758,0.0030485153198242187,0.0001431240531788754,0.6,0.5,9,100,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 9, 'n_estimators': 100, 'subsample': 0.8}",-0.7709667397160992,-0.7611544476333075,-0.6374144712010155,-0.8734101725995885,-0.7092131257784867,-0.7504317913856995,0.07763019356164427,220
491,0.03158612251281738,0.000362818948265096,0.0030123710632324217,8.726450908619164e-05,0.6,0.5,9,100,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 9, 'n_estimators': 100, 'subsample': 1.0}",-0.7534715829410057,-0.7690221594966026,-0.6045133294979117,-0.8607693258640433,-0.7176871117422694,-0.7410927019083664,0.08301509770792154,155
492,0.058145761489868164,0.0003423271379309392,0.0036731243133544924,6.261080704262398e-05,0.6,0.5,9,200,0.4,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 9, 'n_estimators': 200, 'subsample': 0.4}",-0.8368259161575569,-0.82438093784471,-0.7257806889356251,-0.942466825510776,-0.8686319562981036,-0.8396172649493543,0.07016920656810574,611
493,0.061872005462646484,0.0013616556830057256,0.0037215232849121095,0.0001240166639452773,0.6,0.5,9,200,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 9, 'n_estimators': 200, 'subsample': 0.6}",-0.7831313412691051,-0.7775831682041151,-0.6458993877246992,-0.9180809598186258,-0.7369975448690336,-0.7723384803771157,0.08788707388888116,364
494,0.06367573738098145,0.0004552778310305629,0.0036699771881103516,1.6529132113108285e-05,0.6,0.5,9,200,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 9, 'n_estimators': 200, 'subsample': 0.8}",-0.7755165368699346,-0.7902486403157734,-0.6187827791477374,-0.8720064831916656,-0.7238567968659763,-0.7560822472782175,0.08351417376761,261
495,0.05518789291381836,0.0006397413259877699,0.00366063117980957,7.43296295055981e-05,0.6,0.5,9,200,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 9, 'n_estimators': 200, 'subsample': 1.0}",-0.7689282239161496,-0.7694123380438082,-0.6044508733568688,-0.86149717127947,-0.719348017237656,-0.7447273247667905,0.08384726891859655,180
496,0.012367534637451171,0.0016972261068447904,0.0024519920349121093,0.0002775237977742653,0.6,0.5,12,25,0.4,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 12, 'n_estimators': 25, 'subsample': 0.4}",-0.8080810802445514,-0.831632908104596,-0.699104424728094,-0.8593063071251797,-0.7563102914741578,-0.7908870023353158,0.05702044704531531,447
497,0.009577035903930664,0.00016128744622108637,0.0018994331359863282,0.00010082274912119356,0.6,0.5,12,25,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 12, 'n_estimators': 25, 'subsample': 0.6}",-0.7599526891912366,-0.8005543625606589,-0.6493619145848051,-0.8258886590457724,-0.7199381670748993,-0.7511391584914745,0.06235244629094618,225
498,0.009961938858032227,9.263825606506778e-05,0.0018707275390625,4.167038429202929e-05,0.6,0.5,12,25,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 12, 'n_estimators': 25, 'subsample': 0.8}",-0.7641984246802112,-0.7983003422467619,-0.6417721550421546,-0.8344147633131092,-0.6948774030993451,-0.7467126176763165,0.06979699605333081,196
499,0.011210441589355469,0.00185322605411744,0.002085113525390625,0.0003076505379796608,0.6,0.5,12,25,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 12, 'n_estimators': 25, 'subsample': 1.0}",-0.7650995106067546,-0.7859363568394829,-0.6385447652044361,-0.8547700209001521,-0.7236264298511074,-0.7535954166803867,0.0714833878647078,240
500,0.02117948532104492,0.0002562059584893725,0.002895689010620117,0.00014239203880794086,0.6,0.5,12,50,0.4,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 12, 'n_estimators': 50, 'subsample': 0.4}",-0.8304291601564087,-0.8023598306383375,-0.6833268514888426,-0.9181327116037136,-0.7385836315672517,-0.7945664370909108,0.08015462058403205,461
501,0.02325725555419922,0.00020125731217779434,0.002866840362548828,4.062938008557836e-05,0.6,0.5,12,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 12, 'n_estimators': 50, 'subsample': 0.6}",-0.7671376096922026,-0.7923406988472069,-0.622528422066031,-0.8723362899039998,-0.6894987741356434,-0.7487683589290167,0.08597024727861935,209
502,0.024290752410888673,0.0002101886834911804,0.002864360809326172,5.7415827377245904e-05,0.6,0.5,12,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 12, 'n_estimators': 50, 'subsample': 0.8}",-0.7702403031343015,-0.7867038698098979,-0.6317306547097589,-0.8605789595181907,-0.6951181477942892,-0.7488743869932877,0.07871196977820259,210
503,0.023786354064941406,0.00033156450655969936,0.002919626235961914,9.509158772615678e-05,0.6,0.5,12,50,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 12, 'n_estimators': 50, 'subsample': 1.0}",-0.7649177397855536,-0.7765700418144844,-0.6270660649470698,-0.8672418917109126,-0.7201285188386712,-0.7511848514193383,0.07832267317223848,227
