Temperature,MgCl2_concentration,pH_f,Incubation_time,DNase_I_concentration,Rectangles,Rods,Spheres,Diffusion_Coefficient
37,10.0,7.4,15,0.0,0.0,1.0,0.0,2.64
37,10.0,7.4,30,0.0,0.0,1.0,0.0,2.33
37,10.0,7.4,30,0.0,0.0,1.0,0.0,2.25
37,10.0,7.4,30,0.0,0.0,1.0,0.0,1.7
37,10.0,7.4,45,0.0,0.0,1.0,0.0,0.871
37,10.0,7.4,45,0.0,0.0,1.0,0.0,1.03
37,10.0,7.4,45,0.0,0.0,1.0,0.0,0.95
37,10.0,7.4,60,0.0,0.0,1.0,0.0,2.99
37,10.0,7.4,60,0.0,0.0,1.0,0.0,2.87
37,10.0,7.4,60,0.0,0.0,1.0,0.0,3.03
37,10.0,7.4,75,0.0,0.0,1.0,0.0,2.57
37,10.0,7.4,75,0.0,0.0,1.0,0.0,2.45
37,10.0,7.4,75,0.0,0.0,1.0,0.0,2.55
37,10.0,7.4,90,0.0,0.0,1.0,0.0,1.4
37,10.0,7.4,90,0.0,0.0,1.0,0.0,1.43
37,10.0,7.4,90,0.0,0.0,1.0,0.0,1.78
37,10.0,7.4,105,0.0,0.0,1.0,0.0,3.01
37,10.0,7.4,105,0.0,0.0,1.0,0.0,3.66
37,10.0,7.4,105,0.0,0.0,1.0,0.0,3.53
37,10.0,7.4,120,0.0,0.0,1.0,0.0,2.53
37,10.0,7.4,120,0.0,0.0,1.0,0.0,2.56
37,10.0,7.4,120,0.0,0.0,1.0,0.0,2.58
37,10.0,7.4,135,0.0,0.0,1.0,0.0,2.93
37,10.0,7.4,135,0.0,0.0,1.0,0.0,3.27
37,10.0,7.4,135,0.0,0.0,1.0,0.0,3.32
37,10.0,7.4,150,0.0,0.0,1.0,0.0,2.76
37,10.0,7.4,150,0.0,0.0,1.0,0.0,2.94
37,10.0,7.4,150,0.0,0.0,1.0,0.0,2.92
37,10.0,7.4,165,0.0,0.0,1.0,0.0,4.3
37,10.0,7.4,165,0.0,0.0,1.0,0.0,3.83
37,10.0,7.4,165,0.0,0.0,1.0,0.0,3.64
37,10.0,7.4,180,0.0,0.0,1.0,0.0,1.83
37,10.0,7.4,180,0.0,0.0,1.0,0.0,2.1
37,10.0,7.4,180,0.0,0.0,1.0,0.0,1.75
37,10.0,7.4,195,0.0,0.0,1.0,0.0,3.15
37,10.0,7.4,195,0.0,0.0,1.0,0.0,3.01
37,10.0,7.4,195,0.0,0.0,1.0,0.0,3.03
37,10.0,7.4,210,0.0,0.0,1.0,0.0,4.23
37,10.0,7.4,210,0.0,0.0,1.0,0.0,3.63
37,10.0,7.4,210,0.0,0.0,1.0,0.0,3.95
37,10.0,7.4,225,0.0,0.0,1.0,0.0,1.49
37,10.0,7.4,225,0.0,0.0,1.0,0.0,1.45
37,10.0,7.4,225,0.0,0.0,1.0,0.0,1.65
37,10.0,7.4,240,0.0,0.0,1.0,0.0,2.52
37,10.0,7.4,240,0.0,0.0,1.0,0.0,2.8
37,10.0,7.4,240,0.0,0.0,1.0,0.0,2.62
37,10.0,7.4,255,0.0,0.0,1.0,0.0,3.69
37,10.0,7.4,255,0.0,0.0,1.0,0.0,3.63
37,10.0,7.4,255,0.0,0.0,1.0,0.0,3.72
